206.0,25.9,2.6
282.0,9.2,27.4
226.0,27.3,3.6
249.0,16.5,14.5
179.0,23.6,0.8
231.0,31.0,0.3
313.0,13.3,1.5
181.0,37.2,0.6
170.0,21.9,3.2
220.0,24.5,2.3
273.0,10.8,17.0
190.0,42.9,0.5
189.0,19.7,5.7
209.0,23.1,38.9
188.0,43.7,0.3
282.0,31.1,6.2
152.0,29.4,0.6
250.0,21.8,1.6
180.0,40.9,1.6
274.0,23.7,2.6
217.0,28.1,0.7
158.0,34.2,0.2
268.0,17.0,90.5
156.0,44.5,1.0
204.0,19.8,1.9
212.0,39.7,18.3
251.0,31.8,11.2
150.0,42.6,0.4
292.0,23.4,1.3
176.0,11.7,3.1
153.0,36.2,4.1
214.0,35.0,2.0
187.0,8.7,35.5
211.0,27.9,2.9
162.0,32.0,1.6
224.0,16.8,32.3
362.0,13.0,14.8
235.0,5.6,81.7
254.0,25.1,52.5
142.0,38.7,0.2
139.0,25.6,41.1
269.0,15.0,23.4
192.0,28.6,0.9
187.0,19.6,2.1
180.0,35.1,0.5
207.0,32.6,1.1
245.0,30.3,0.4
225.0,38.3,1.5
172.0,25.5,0.5
205.0,27.5,1.0
204.0,18.0,0.7
196.0,37.4,0.7
223.0,24.7,5.4
172.0,27.6,0.4
196.0,31.6,0.4
190.0,39.4,0.2
172.0,37.6,0.5
242.0,44.4,4.7
173.0,40.2,0.5
214.0,48.5,9.6
209.0,25.5,5.3
252.0,37.3,31.5
211.0,19.4,18.8
190.0,13.5,0.9
164.0,18.2,0.5
215.0,30.9,0.6
169.0,19.9,1.2
200.0,29.2,5.8
202.0,31.9,1.0
201.0,44.5,2.4
339.0,44.7,23.8
184.0,14.5,6.4
213.0,17.9,72.9
193.0,29.1,24.8
161.0,33.0,3.2
323.0,33.7,2.7
211.0,35.0,44.9
190.0,27.2,53.8
139.0,13.3,12.1
271.0,48.4,4.0
202.0,13.4,16.6
196.0,24.6,1.4
113.0,46.9,2.2
204.0,37.9,4.0
173.0,15.0,3.6
268.0,17.9,52.0
211.0,23.9,2.3
166.0,31.9,8.4
140.0,12.7,0.4
242.0,15.8,2.6
208.0,24.7,69.6
217.0,41.9,12.3
240.0,7.3,34.2
139.0,34.4,1.8
230.0,45.7,1.1
227.0,18.6,11.0
238.0,37.1,2.1
184.0,27.1,11.6
180.0,28.6,2.0
162.0,33.7,5.3
249.0,28.4,2.8
266.0,17.3,19.2
223.0,32.6,40.5
283.0,23.6,18.6
195.0,12.8,3.6
279.0,20.6,2.1
173.0,32.5,20.0
141.0,25.0,0.3
200.0,22.5,1.9
170.0,7.2,0.9
299.0,32.7,3.3
214.0,18.9,0.1
222.0,11.7,98.9
179.0,12.0,1.4
183.0,34.6,1.6
179.0,32.2,2.2
270.0,27.2,42.3
242.0,19.6,8.4
209.0,17.5,36.8
202.0,23.7,0.5
177.0,17.7,7.9
334.0,27.5,0.8
201.0,29.1,2.4
156.0,29.4,0.6
322.0,6.4,10.2
168.0,40.6,0.9
248.0,36.5,18.3
252.0,35.4,21.0
159.0,22.8,0.9
186.0,40.2,1.6
179.0,24.4,0.5
235.0,35.5,0.6
222.0,23.0,3.7
231.0,19.9,1.0
177.0,35.7,2.5
207.0,19.8,3.1
172.0,29.3,9.8
188.0,28.5,1.5
154.0,23.9,1.7
292.0,25.4,1.0
246.0,25.0,1.0
177.0,29.5,0.9
261.0,11.7,0.4
163.0,24.9,1.1
243.0,11.1,0.2
142.0,10.0,0.4
208.0,32.5,0.5
230.0,22.6,19.5
139.0,30.8,1.9
159.0,39.8,0.9
179.0,46.0,0.3
181.0,29.5,0.5
203.0,26.8,1.7
175.0,23.9,0.2
142.0,23.1,0.8
172.0,23.4,3.4
194.0,33.0,4.8
187.0,25.2,0.6
179.0,23.2,1.1
200.0,26.2,54.4
255.0,17.2,3.2
147.0,36.0,0.4
194.0,21.2,3.9
143.0,23.5,0.4
184.0,28.2,6.0
184.0,33.3,0.1
162.0,41.7,1.6
168.0,25.0,1.6
224.0,25.1,4.8
149.0,21.8,0.4
255.0,21.5,0.4
193.0,24.7,0.5
212.0,7.7,0.6
176.0,29.5,13.0
173.0,6.5,2.3
183.0,14.2,0.2
192.0,34.3,2.4
246.0,31.1,22.8
243.0,30.5,10.9
285.0,14.7,160.2
167.0,28.4,0.2
216.0,5.7,5.9
664.0,8.9,149.9
256.0,20.7,5.1
110.0,30.9,2.4
288.0,30.6,1.2
632.0,4.1,180.8
234.0,6.1,26.9
211.0,40.0,1.1
423.0,7.6,7.0
245.0,18.2,32.1
290.0,3.7,26.7
1313.0,2.3,99.3
570.0,5.6,299.4
1438.0,3.5,274.1
602.0,2.7,239.4
566.0,3.5,90.8
566.0,4.6,62.4
504.0,7.7,277.8
639.0,12.7,118.1
539.0,0.7,223.8
877.0,9.2,264.5
363.0,15.2,78.0
1548.0,44.3,51.9
858.0,2.1,151.0
1437.0,2.3,200.3
890.0,2.0,86.1
476.0,7.0,66.9
302.0,2.4,192.6
1867.0,1.7,164.0
1640.0,1.5,64.0
1588.0,3.7,50.5
1752.0,30.0,84.6
504.0,2.8,23.9
417.0,0.9,157.3
884.0,5.0,45.7
783.0,5.9,73.9
297.0,8.6,155.2
368.0,4.6,36.3
1313.0,3.3,272.6
608.0,8.8,144.5
772.0,3.3,138.6
764.0,10.3,75.5
648.0,2.4,79.3
331.0,2.4,41.3
530.0,6.0,95.7
432.0,10.0,119.1
1820.0,1.5,113.1
458.0,3.4,279.1
660.0,7.1,269.2
803.0,1.4,238.1
678.0,4.2,26.3
1080.0,2.5,85.6
830.0,11.3,92.4
834.0,2.3,46.5
1764.0,18.8,18.9
471.0,5.0,302.1
345.0,15.7,80.2
594.0,2.8,320.0
450.0,6.5,26.1
403.0,1.7,57.1
492.0,12.6,70.5
637.0,1.8,194.6
833.0,3.7,77.3
259.0,12.4,47.3
555.0,3.0,192.3
798.0,5.6,254.6
469.0,26.7,97.8
405.0,8.2,32.9
645.0,3.5,232.8
1202.0,2.0,65.0
663.0,4.5,102.7
418.0,13.4,78.8
411.0,4.9,42.6
1867.0,3.8,202.7
589.0,7.1,202.7
321.0,1.4,53.1
489.0,4.7,56.0
1574.0,2.4,62.8
367.0,1.8,15.9
457.0,4.2,96.9
733.0,2.6,245.9
974.0,6.1,126.6
1331.0,2.2,139.7
1196.0,1.8,23.9
731.0,8.6,103.3
1867.0,0.7,65.3
944.0,7.2,57.4
1867.0,0.8,36.7
1798.0,9.1,211.4
387.0,1.7,146.7
464.0,2.1,63.0
610.0,6.0,99.1
620.0,5.0,97.0
577.0,13.0,57.2
232.0,4.8,141.7
439.0,3.2,320.0
493.0,8.8,245.8
246.0,20.6,100.5
1692.0,2.6,159.0
591.0,2.7,55.9
486.0,18.5,100.8
1138.0,5.3,88.3
714.0,10.7,131.9
999.0,0.9,7.1
932.0,4.9,99.2
1126.0,3.7,320.0
693.0,1.1,120.6
752.0,1.1,133.8
568.0,6.1,142.7
398.0,3.0,59.7
705.0,1.1,193.1
385.0,6.2,114.1
577.0,11.8,175.6
807.0,2.7,61.0
561.0,11.1,71.6
664.0,25.0,166.3
401.0,7.5,185.1
987.0,18.9,289.2
617.0,3.1,91.7
678.0,5.9,211.7
415.0,4.6,112.5
487.0,3.6,86.3
862.0,0.3,207.3
436.0,7.1,72.7
431.0,3.3,117.9
671.0,2.7,8.0
348.0,2.6,163.9
455.0,10.4,225.9
261.0,5.6,200.0
578.0,10.3,136.9
1867.0,1.4,259.1
353.0,3.3,69.1
703.0,2.9,32.4
1106.0,6.6,210.9
544.0,3.7,164.1
1544.0,1.6,96.7
863.0,2.2,149.9
887.0,2.1,134.6
266.0,9.7,57.9
369.0,4.0,153.0
471.0,11.7,94.2
874.0,2.4,59.8
655.0,1.2,25.5
426.0,4.0,57.2
1160.0,15.6,53.4
574.0,2.0,78.3
428.0,1.7,164.9
739.0,3.8,247.5
801.0,6.2,51.3
435.0,1.3,59.5
704.0,2.2,120.6
1594.0,11.5,198.8
426.0,2.9,116.5
699.0,1.3,90.2
830.0,17.1,67.2
1346.0,3.3,203.9
535.0,6.2,187.8
1416.0,1.0,164.3
794.0,3.7,262.2
491.0,3.4,77.6
1867.0,4.4,48.7
506.0,3.4,232.8
1514.0,1.9,57.3
568.0,5.5,220.0
905.0,2.7,103.6
573.0,15.0,152.0
607.0,0.6,177.6
702.0,6.3,205.8
1867.0,2.3,61.7
783.0,6.7,267.0
